,ROI,Yeo_Network,Yeo_Index,hist_g2_value
49,Occipital_Sup_R,7networks_RH_Vis,1,-0.368264
43,Calcarine_R,7networks_RH_Vis,1,-0.352656
42,Calcarine_L,7networks_LH_Vis,1,-0.342774
44,Cuneus_L,7networks_LH_Vis,1,-0.342567
45,Cuneus_R,7networks_RH_Vis,1,-0.293172
53,Occipital_Inf_R,7networks_RH_Vis,1,-0.290925
48,Occipital_Sup_L,7networks_LH_Vis,1,-0.277223
51,Occipital_Mid_R,7networks_RH_Vis,1,-0.246503
47,Lingual_R,7networks_RH_Vis,1,-0.157892
50,Occipital_Mid_L,7networks_LH_Vis,1,-0.123492
52,Occipital_Inf_L,7networks_LH_Vis,1,-0.113959
46,Lingual_L,7networks_LH_Vis,1,-0.0626755
55,Fusiform_R,7networks_RH_Vis,1,0.14811
54,Fusiform_L,7networks_LH_Vis,1,0.194497
76,Heschl_L,7networks_LH_SomMot,2,-0.319112
77,Heschl_R,7networks_RH_SomMot,2,-0.316199
1,Precentral_R,7networks_RH_SomMot,2,-0.27582
0,Precentral_L,7networks_LH_SomMot,2,-0.252527
19,Supp_Motor_Area_R,7networks_RH_SomMot,2,-0.25124
18,Supp_Motor_Area_L,7networks_LH_SomMot,2,-0.204303
56,Postcentral_L,7networks_LH_SomMot,2,-0.195907
57,Postcentral_R,7networks_RH_SomMot,2,-0.180722
69,Paracentral_Lobule_R,7networks_RH_SomMot,2,-0.146459
68,Paracentral_Lobule_L,7networks_LH_SomMot,2,-0.132279
78,Temporal_Sup_L,7networks_LH_SomMot,2,-0.11375
16,Rolandic_Oper_L,7networks_LH_SomMot,2,-0.0699597
79,Temporal_Sup_R,7networks_RH_SomMot,2,-0.0237426
17,Rolandic_Oper_R,7networks_RH_SomMot,2,-0.0229536
58,Parietal_Sup_L,7networks_LH_DorsAttn,3,-0.0968148
59,Parietal_Sup_R,7networks_RH_DorsAttn,3,-0.0924135
61,Parietal_Inf_R,7networks_RH_DorsAttn,3,-0.0471231
62,SupraMarginal_L,7networks_LH_DorsAttn,3,0.0947953
10,Frontal_Inf_Oper_L,7networks_LH_SalVentAttn,4,-0.102025
11,Frontal_Inf_Oper_R,7networks_RH_SalVentAttn,4,-0.0712346
33,Cingulum_Mid_R,7networks_RH_SalVentAttn,4,-0.0438553
28,Insula_L,7networks_LH_SalVentAttn,4,0.055607
29,Insula_R,7networks_RH_SalVentAttn,4,0.0713641
63,SupraMarginal_R,7networks_RH_SalVentAttn,4,0.0913658
86,Temporal_Inf_L,7networks_LH_Limbic,5,0.146315
87,Temporal_Inf_R,7networks_RH_Limbic,5,0.200466
4,Frontal_Sup_Orb_L,7networks_LH_Limbic,5,0.241026
5,Frontal_Sup_Orb_R,7networks_RH_Limbic,5,0.26085
38,ParaHippocampal_L,7networks_LH_Limbic,5,0.309207
84,Temporal_Pole_Mid_L,7networks_LH_Limbic,5,0.313014
85,Temporal_Pole_Mid_R,7networks_RH_Limbic,5,0.343846
26,Rectus_L,7networks_LH_Limbic,5,0.357943
