Unnamed: 0,ROI,Yeo_Network,Yeo_Index,hist_g2_value,SC_pos_coefs,SC_neg_coefs
0.0,Precentral_L,LH_SomMot,2.0,-0.252527,0.0557386296846471,-0.0434496426991279
1.0,Precentral_R,RH_SomMot,2.0,-0.27582,0.0644400561263605,-0.0318007783411244
2.0,Frontal_Sup_L,LH_Default,7.0,0.0262288,0.0874080147090009,-0.0216387044078127
3.0,Frontal_Sup_R,RH_Default,7.0,0.0356533,0.0718980732240768,-0.0352036809961391
4.0,Frontal_Sup_Orb_L,LH_Limbic,5.0,0.241026,0.0350379028265005,-0.0119295453589523
5.0,Frontal_Sup_Orb_R,RH_Limbic,5.0,0.26085,0.0252030108201761,-0.0074241591455871
6.0,Frontal_Mid_L,LH_Cont,6.0,-0.0243528,0.0664287429570388,-0.0289590853902577
7.0,Frontal_Mid_R,RH_Cont,6.0,-0.0532717,0.060674398814479,-0.0385509440209429
8.0,Frontal_Mid_Orb_L,LH_Cont,6.0,0.131386,0.0433420042988477,-0.0163759343995908
9.0,Frontal_Mid_Orb_R,RH_Cont,6.0,0.124655,0.0287613057282777,-0.0235184306505051
10.0,Frontal_Inf_Oper_L,LH_SalVentAttn,4.0,-0.102025,0.0518150704657383,-0.0272470641881355
11.0,Frontal_Inf_Oper_R,RH_SalVentAttn,4.0,-0.0712346,0.0545557232493108,-0.0359347917169865
12.0,Frontal_Inf_Tri_L,LH_Cont,6.0,-0.0105038,0.0493663316618122,-0.0346097954864036
13.0,Frontal_Inf_Tri_R,RH_Cont,6.0,0.00813057,0.0600955618188734,-0.0212781915653502
14.0,Frontal_Inf_Orb_L,LH_Default,7.0,-0.00752688,0.0375598815259998,-0.0230732876563704
15.0,Frontal_Inf_Orb_R,RH_Default,7.0,0.0526184,0.0345812392324829,-0.0145431909930209
16.0,Rolandic_Oper_L,LH_SomMot,2.0,-0.0699597,0.0569427193758548,-0.0335486987074835
17.0,Rolandic_Oper_R,RH_SomMot,2.0,-0.0229536,0.0743390426538971,-0.022503262998792
18.0,Supp_Motor_Area_L,LH_SomMot,2.0,-0.204303,0.072529137099294,-0.0211458809113174
19.0,Supp_Motor_Area_R,RH_SomMot,2.0,-0.25124,0.0731337331440016,-0.0248692767556369
20.0,Olfactory_L,Subcortex,8.0,0.272807,0.0289553035124161,-0.0182810497396983
21.0,Olfactory_R,Subcortex,8.0,0.348359,0.0218203762417057,-0.0173302221586808
22.0,Frontal_Sup_Medial_L,LH_Default,7.0,0.134695,0.0388333817879453,-0.0382726105879766
23.0,Frontal_Sup_Medial_R,RH_Default,7.0,0.101903,0.0330013628719043,-0.023256064524825
24.0,Frontal_Med_Orb_L,LH_Default,7.0,0.266983,0.0250620409117346,-0.0120387140516574
25.0,Frontal_Med_Orb_R,RH_Default,7.0,0.255624,0.010692042178507,-0.0243637812001091
26.0,Rectus_L,LH_Limbic,5.0,0.357943,0.0097968520088085,-0.0179428418291773
27.0,Rectus_R,RH_Limbic,5.0,0.386244,0.0194204459298647,-0.0112947546295805
28.0,Insula_L,LH_SalVentAttn,4.0,0.055607,0.0932188241269841,-0.0373032571689674
29.0,Insula_R,RH_SalVentAttn,4.0,0.0713641,0.1153474304140845,-0.0317267550327195
30.0,Cingulum_Ant_L,LH_Default,7.0,0.121803,0.0399896991469624,-0.0385372895442302
31.0,Cingulum_Ant_R,RH_Default,7.0,0.191628,0.0637518607888762,-0.0298448804796338
32.0,Cingulum_Mid_L,LH_Default,7.0,0.00923368,0.0754998715418429,-0.0356903553108394
33.0,Cingulum_Mid_R,RH_SalVentAttn,4.0,-0.0438553,0.0691080281185267,-0.0327017883722029
34.0,Cingulum_Post_L,LH_Default,7.0,-0.0683547,0.0904231091811315,-0.0220687637365468
35.0,Cingulum_Post_R,RH_Default,7.0,-0.080374,0.0494606576389196,-0.0574218156139054
36.0,Hippocampus_L,Subcortex,8.0,0.264563,0.0652694547641872,-0.0433629382235356
37.0,Hippocampus_R,Subcortex,8.0,0.228782,0.0718631771811565,-0.0536166829288345
38.0,ParaHippocampal_L,LH_Limbic,5.0,0.309207,0.0381438148659489,-0.0571522896898894
39.0,ParaHippocampal_R,RH_Limbic,5.0,0.394873,0.0501976987143251,-0.0449713709759141
40.0,Amygdala_L,Subcortex,8.0,0.293274,0.0267988082945537,-0.0359027263121519
41.0,Amygdala_R,Subcortex,8.0,0.237555,0.0410541751311998,-0.0355490833090006
42.0,Calcarine_L,LH_Vis,1.0,-0.342774,0.0353546784382304,-0.0398388109489655
43.0,Calcarine_R,RH_Vis,1.0,-0.352656,0.0336110966816184,-0.0320743481271262
44.0,Cuneus_L,LH_Vis,1.0,-0.342567,0.0431781126749221,-0.0399821655347837
45.0,Cuneus_R,RH_Vis,1.0,-0.293172,0.0350784946115989,-0.0616309443137845
46.0,Lingual_L,LH_Vis,1.0,-0.0626755,0.0690185876946969,-0.0191514420855753
47.0,Lingual_R,RH_Vis,1.0,-0.157892,0.0136508967084376,-0.0541728731029565
48.0,Occipital_Sup_L,LH_Vis,1.0,-0.277223,0.0401842829244441,-0.0440259749419896
49.0,Occipital_Sup_R,RH_Vis,1.0,-0.368264,0.0555435443515107,-0.032531068148238
50.0,Occipital_Mid_L,LH_Vis,1.0,-0.123492,0.0376848224492095,-0.0491546295248112
51.0,Occipital_Mid_R,RH_Vis,1.0,-0.246503,0.0659166105821349,-0.025135306350428
52.0,Occipital_Inf_L,LH_Vis,1.0,-0.113959,0.043325966589232,-0.0323516443214773
53.0,Occipital_Inf_R,RH_Vis,1.0,-0.290925,0.0471686738437027,-0.0232888124548544
54.0,Fusiform_L,LH_Vis,1.0,0.194497,0.0484071205084951,-0.03398167302786
55.0,Fusiform_R,RH_Vis,1.0,0.14811,0.0318906974470111,-0.0463596081274893
56.0,Postcentral_L,LH_SomMot,2.0,-0.195907,0.0524194712823834,-0.0474652919538822
57.0,Postcentral_R,RH_SomMot,2.0,-0.180722,0.049224393507328,-0.0252081648583258
58.0,Parietal_Sup_L,LH_DorsAttn,3.0,-0.0968148,0.0614968493055007,-0.0283754986530583
